name,website,description
AIEX,aiex.ai,"AIEX develops software that applies artificial intelligence to automate business processes and augment knowledge work. The platform provides workflow orchestration, AI agent building, and chat interfaces that connect to internal data and tools. Features include retrieval over documents, prompt and tool configuration, API and SaaS integrations, and options to deploy in cloud or private environments. Services include solution design, implementation assistance, and model tuning to fit domain-specific tasks. Monitoring, access control, and audit trails support governance and privacy requirements. Typical use cases include sales enablement, customer support, research assistance, and operations automation. || AIEX provides AI agent and workflow automation tools with data retrieval, integrations, and deployment and governance support. | AIEX develops software that applies artificial intelligence to automate business processes and augment knowledge work. The platform provides workflow orchestration, AI agent building, and chat interfaces that connect to internal data and tools. Features include retrieval over documents, prompt and tool configuration, API and SaaS integrations, and options to deploy in cloud or private environments. Services include solution design, implementation assistance, and model tuning to fit domain-specific tasks. Monitoring, access control, and audit trails support governance and privacy requirements. Typical use cases include sales enablement, customer support, research assistance, and operations automation. | AIEX is an AI-based industry solutions platform, founded in 2019 in Vancouver, Canada. We specialize in computer vision (CV) powered by deep learning to provide advanced services such as inspection solutions, AI industry feasibility studies, digital twin and autonomous drones, etc.
AI-based technologies are quickly spreading to every industry, including manufacturing, safety, automotive, and logistics, and revolutionizing their processes. Integrating AI into your business is an absolute necessity in today's industrial landscape if you are to keep up with the competition. Our AI-powered visual quality inspection helps companies manage their resources intelligently, and inspect them efficiently and more accurately than humans can ever do. | Aiex Company Ltd. was founded in 1967. The Company's line of business includes distributing construction materials."
Visitech,visitech.com,"VISITECH® is a dedicated DLP product company. We take pride in our products and results that we have created together with our customers within industrial applications. Our experienced engineering team has made many DLP related products in various applications during the past 17 years. We are passionate about making professional and record braking results when it comes to a DLP modules performance and quality. This is the basis for the win - win track record we have together with our customers. It is vital that our team is capable of understanding the details and requirements from the customer’s application such that we are able to add best value to the DLP product. VISITECH offers DLP products, custom design and manufacturing for particular markets and applications. The product can be DLP electronics or DLP light engines that will be manufactured in our dedicated DLP light engine factory. The DLP module will, when qualified and tested, be installed into our customer’s end product. Our DLP products include configurations from the complete range of Texas Instruments’ DLP chip sets for industrial applications. In addition, VISITECH, has particular design experience within imaging system design, real time systems, high speed image processing, optical design, thermal and mechanical design and smart light sources, including advanced LED controllers. VISITECH enables companies to reduce risk and improve competitiveness. Our proven methodology, a track record of timely delivery, and in-depth understanding of our customer’s markets, make VISITECH a valuable partner. || VISITECH® is a dedicated DLP product company. We take pride in our products and results that we have created together with our customers within industrial applications. Our experienced engineering team has made many DLP related products in various applications during the past 17 years. We are passionate about making professional and record braking results when it comes to a DLP modules performance and quality. This is the basis for the win - win track record we have together with our customers. It is vital that our team is capable of understanding the details and requirements from the customer’s application such that we are able to add best value to the DLP product. VISITECH offers DLP products, custom design and manufacturing for particular markets and applications. The product can be DLP electronics or DLP light engines that will be manufactured in our dedicated DLP light engine factory. The DLP module will, when qualified and tested, be installed into our customer’s end product. Our DLP products include configurations from the complete range of Texas Instruments’ DLP chip sets for industrial applications. In addition, VISITECH, has particular design experience within imaging system design, real time systems, high speed image processing, optical design, thermal and mechanical design and smart light sources, including advanced LED controllers. VISITECH enables companies to reduce risk and improve competitiveness. Our proven methodology, a track record of timely delivery, and in-depth understanding of our customer’s markets, make VISITECH a valuable partner. | Company in Lierbyen, Norway | Visitech creates high-end products that enable your business to build state-of-the-art imaging solutions. | Contact Visitech for DLP-based subsystems that enable high speed, volume, and resolution for industrial additive manufacturing and lithography applications! | VISITECH® is the leading imaging solution partner to various manufacturing industries from chips manufacturing to bioprinting. With a strong heritage and in close proximity to Texas Instruments in its Texas location, the company is at the vanguard of DLP technology, always serving as an imaging partner to customers who develop cutting edge manufacturing technologies.

Our experienced engineering team has made many DLP related products in various applications during the past 17 years. Our DLP products include configurations from the complete range of Texas Instruments’ DLP chip sets for industrial applications. In addition, VISITECH, has particular design experience within imaging system design, real time systems, high speed image processing, optical design, thermal and mechanical design and smart light sources, including advanced LED controllers. | Visitech Enterprises, Inc. was founded in 1995. The company's line of business includes providing computer related services and consulting. | Hardware Consultants | Computer Related Services Nec | Real Estate Agents & Managers"
Droids Agency,droidsagency.com,"In Droids Agency, we believe that the future lies in the connection between humans and technology. Therefore, we made it our mission to bring our customers into the automated future. Droids Agency is a leading Power House in the AI and Intelligent Automation market. As we transform cutting-edge technology into easy processes that simplify everyday life, we continuously strive to stay updated with the latest technologies. During our tenure, we have delivered more than 100 implementations of Robotic Process Automation (RPA) and AI in Denmark. Within that area, we are working with market leading technologies like Large Language Models (GPT, Llama, BERT), Microsoft Azure, Microsoft’s “Power Automate” platform, Docker and Kubernetes Droids Agency deliver the automation projects in an end to end manner - from implementing the technology, to production and support. We are known for a fast and professional implementation of every project. || In Droids Agency, we believe that the future lies in the connection between humans and technology. Therefore, we made it our mission to bring our customers into the automated future. Droids Agency is a leading Power House in the AI and Intelligent Automation market. As we transform cutting-edge technology into easy processes that simplify everyday life, we continuously strive to stay updated with the latest technologies. During our tenure, we have delivered more than 100 implementations of Robotic Process Automation (RPA) and AI in Denmark. Within that area, we are working with market leading technologies like Large Language Models (GPT, Llama, BERT), Microsoft Azure, Microsoft’s “Power Automate” platform, Docker and Kubernetes Droids Agency deliver the automation projects in an end to end manner - from implementing the technology, to production and support. We are known for a fast and professional implementation of every project. | Droids Agency specializes in LowCode Development, Intelligent Automation, AI, and New Tech Consulting. | Droids Agency is a company that specializes in LowCode Development and Intelligent Automation. The core services include AI, Automation (RPA), and New Tech Consulting. The company is committed to ensuring the protection of personal data in accordance with the applicable legal framework. Droids Agency transforms technology into easy processes that simplify operations. The company operates in the insurance industry. | In Droids Agency, we believe that the future lies in the connection between humans and technology. Therefore, we made it our mission to bring our customers into the automated future.

Droids Agency is a leading Power House in the AI and Intelligent Automation market. As we transform cutting-edge technology into easy processes that simplify everyday life, we continuously strive to stay updated with the latest technologies.

During our tenure, we have delivered more than 100 implementations of Robotic Process Automation (RPA) and AI in Denmark.
Within that area, we are working with market leading technologies like Large Language Models (GPT, Llama, BERT), Microsoft Azure, Microsoft’s “Power Automate” platform, Docker and Kubernetes

Droids Agency deliver the automation projects in an end to end manner - from implementing the technology, to production and support. We are known for a fast and professional implementation of every project. | In Droids Agency, we believe that the future is Digital First. Therefore, we have made it our mission to bring our customers into the automated future...

Droids Agency is a leading Power House in the Intelligent Automation market. When attempting to convert cutting edge technology to easy processes, that make every day life simpler and smarter, we are second to none.

During our tenure, we have delivered more than 50 implementations of Robotic Process Automation (RPA) in Denmark. Within that area, we are working with market leading technologies like Microsoft’s “Power Automate” platform.

Droids Agency deliver the automation projects in an end to end manner - from implementing the technology, to production and support. We are known for a fast and professional implementation of every project."
Waygate Technologies,waygate-tech.com,"Waygate Technologies provides industrial inspection and non-destructive testing solutions for quality control and asset evaluation. The company develops systems for radiography and computed tomography, enabling internal visualization and dimensional analysis of components without physical alteration. Its portfolio includes remote visual inspection tools, ultrasound and eddy current devices, as well as hardness testing equipment used to detect defects and monitor material conditions. Waygate Technologies also integrates software and data analytics to support inspection workflows, automate analysis, and generate actionable insights from imaging and measurement data. Its technologies are applied in sectors such as aerospace, automotive, electronics, energy, and advanced manufacturing to assess performance, ensure compliance, and improve production processes. || Waygate Technologies provides industrial inspection and non-destructive testing solutions for quality control and asset evaluation. | Waygate Technologies provides industrial inspection and non-destructive testing solutions for quality control and asset evaluation. The company develops systems for radiography and computed tomography, enabling internal visualization and dimensional analysis of components without physical alteration. Its portfolio includes remote visual inspection tools, ultrasound and eddy current devices, as well as hardness testing equipment used to detect defects and monitor material conditions. Waygate Technologies also integrates software and data analytics to support inspection workflows, automate analysis, and generate actionable insights from imaging and measurement data. Its technologies are applied in sectors such as aerospace, automotive, electronics, energy, and advanced manufacturing to assess performance, ensure compliance, and improve production processes."
VAIA Technologies,vaia-tech.com,"VAIA Technologies provides a solutions for customers looking to make dramatic improvements in product and process quality and reliability. || VAIA Technologies provides a solutions for customers looking to make dramatic improvements in product and process quality and reliability. | VAIA Technologies provides solutions for customers looking to make dramatic improvements in product and process quality and reliability. Founded as a Machine Vision Integrator in 2002 and headquartered just outside Boston MA and with offices in Austin TX, VAIA Technologies is an AIA Certified, UL Certified, full-service automation, robotics, and machine vision integrator. VAIA Technologies provides turnkey vision solutions, custom machine builds, and vision consulting in support of manufacturing and OEMs across a wide range of industries. The VAIA Technologies name reflects our full range of offerings and capabilities: Vision, Automation, Integration, Analytics. | VAIA Technologies is a leading US provider of automated inspection solutions for customers looking to make dramatic improvements in product and process quality and reliability.Our skilled team of software developers and engineers utilize the latest technologies and techniques in machine vision, automation and robotics to deliver integrated solutions that address the most challenging customer needs. | Founded as a Machine Vision Integrator in 2002 and headquartered just outside Boston MA and with offices in Austin TX, VAIA Technologies is an AIA Certified, full service automation, robotics, and machine vision integrator. VAIA Technologies provides turnkey vision solutions, custom machine builds, and vision consulting in support of manufacturing and OEMs across a wide range of industries. The VAIA Technologies name reflects our full range of offerings and capabilities: Vision, Automation, Integration, Analytics.

VAIA is differentiated within the Machine Vision industry by extensive in-house software development and engineering expertise. Our systems have been successfully deployed nationwide and internationally to over 500 clients including many Fortune 500 clients. We specialize in conceptualizing, designing, installing, and maintaining solutions that address the most difficult challenges. Our engineers are highly skilled at identifying and deploying the most appropriate technology for each project. In addition to being a leading US-based Cognex Partner System Integrator (PSI), we have years of experience integrating technology with partners such as Keyence, Halcon, Allen Bradley, Fanuc Robotics, and others.

VAIA operates out of a 10,000 square foot production facility that includes a state-of-the-art vision and automation laboratory for rapid testing, iteration, and evaluation. Our engineering and field services staff have a collective 200+ years of industry experience. | We’re pleased to announce that Machine Vision Company is now VAIA Technologies LLC.  Find us at: www.vaia-tech.com

VAIA Technologies is a leading US provider of solutions for customers looking to make dramatic improvements in product and process quality and reliability. Our skilled team of software developers and engineers utilize the latest technologies and techniques in machine vision, automation, and robotics to deliver turnkey solutions that address the most challenging customer needs. Call us to find out how we can help. | About VAIA Technologies is a leading US provider of solutions for customers looking to make dramatic improvements in product and process quality and reliability. Additional Information Founded as Machine Vision Company (MVC) in 2002 and headquartered just outside Boston MA and with offices in Austin TX, VAIA Technologies is a full service mach ... ine vision, automation and robotics systems integrator providing turnkey vision solutions, custom machine builds, vision consulting in support of manufacturing and OEMs across a wide range of industries. The company was rebranded and renamed to VAIA Technologies in 2016 to better reflect our full range of offerings and capabilities: Vision, Automation, Integration, Analytics. Differentiated by an extensive in-house software development and engineering expertise, VAIAs systems have been successfully deployed nationwide and internationally to over 300 clients including many Fortune 500 clients. VAIA specializes in conceptualizing, designing installing and maintaining solutions that address most difficult of issues. Our engineers are highly skilled at identifying and deploying the correct technology for each project. As well as being the leading US based Cognex Partner System Integrator (PSI), we also have years of experience integrating technology from Keyence, Halcon, Allen Bradley, Fanuc, Opto Engineering and others. VAIA operates a 9000 square foot production facility that includes a state of the art vision and automation laboratory at our new Westborough MA Headquarters. Our capability allows for rapid testing and iteration during customer evaluations. Coupled with the collective 200+ years of industry experience of VAIA’s engineering and field service staff, our capability instills the utmost confidence in our customers that the solution they purchased will meet all expectations when installed. #machinevision See More"
Perceptron,perceptron.com,"Perceptron metrology solutions include dimensional gauging, CMMs, robot guidance, gap & flush, 3D laser scanning and metrology software. || Perceptron metrology solutions include dimensional gauging, CMMs, robot guidance, gap & flush, 3D laser scanning and metrology software. | Since 1981, Perceptron has been at the forefront of 3D automated inline metrology and precision robot guidance solutions. Through groundbreaking machine vision development and pioneering engineering, Perceptron created an innovative measurement solution that efficiently addressed quality issues as they arose while proactively reducing process variation. 

This led to the creation of the first viable, in-process, 100%-dimensional measurement solution capable of thriving in the most demanding manufacturing environments.

In 2020, Perceptron joined the Atlas Copco Group, solidifying its role as the industrial metrology expert within the Machine Vision Solution (MVS) division and under the ISRA VISION brand. | Perceptron, Inc. (Perceptron), develops, produces and sells non-contact measurement and inspection solutions for industrial applications. | Perceptron, Inc. (Perceptron), develops, produces and sells non-contact measurement and inspection solutions for industrial applications. Perceptron products provide solutions for manufacturing process control, as well as sensor and software technologies for non-contact measurement, scanning and inspection applications. The Company services multiple markets, including the automotive industry. The Company's primary operations are in North America, Europe and Asia. The Company's products are categorized as automated systems products, technology components products, and value added services. On August 30, 2012, the Company sold substantially all of the assets of Commercial Products Business Unit (CBU). | Perceptron has a multidimensional view of what constitutes quality assurance for carmakers and building tradesmen. The company's proprietary image-processing systems provide 3-D scanning, non-contact measurement, and robot guidance systems for the automotive industry. Automakers use Perceptron's products to detect abnormalities and prevent variations -- such as metal or paint defects -- on formed parts. Perceptron also offers services such as consulting, maintenance, repair work, upgrades, and training. General Motors, VW, BMW, and Snap-on are among its top customers. Roughly half of sales come from the Americas, primarily the US. | Optical Instruments & Lenses | Perceptron, Inc. designs, manufactures and markets information-based process measurement and guidance solutions that help customers shorten time to market, improve quality and productivity and reduce overall manufacturing costs.  The Company markets its products worldwide through its offices in the United States, Germany, Canada, Brazil, The Netherlands, Korea, and Japan. | Perceptron produces information-based process improvement solutions for noncontact measurement and inspection applications. Automotive and manufacturing companies throughout the world rely on Perceptron's process management solutions to help improve quality, shorten product launch times and reduce overall manufacturing costs. The company s products are traditionally installed during the production cycle, but its scanning systems can be integrated with a number of mechanisms, which include articulated arms, robots and fixed mounts. Perceptron is located in Plymouth, Mich."
Broadhurst Digital,broadhurst.digital,"Broadhurst Digital provides AI-for-marketing consulting, CRM and marketing automation services, and HubSpot implementation support. Engagements include audits, strategy roadmaps, data integration, workflow automation, and analytics setup. Programs cover email marketing, lifecycle nurturing, lead scoring, and pipeline enablement for B2B sales and marketing teams. Training and workshops guide teams on AI adoption, prompt design, and marketing operations governance. Speaking services address AI, marketing, and digital transformation for professional audiences. The consultancy configures HubSpot portals, custom objects, integrations, and reporting to improve revenue operations and measurement. || Broadhurst Digital delivers AI marketing consulting, CRM and automation, HubSpot solutions, training, and speaking. | Broadhurst Digital provides AI-for-marketing consulting, CRM and marketing automation services, and HubSpot implementation support. Engagements include audits, strategy roadmaps, data integration, workflow automation, and analytics setup. Programs cover email marketing, lifecycle nurturing, lead scoring, and pipeline enablement for B2B sales and marketing teams. Training and workshops guide teams on AI adoption, prompt design, and marketing operations governance. Speaking services address AI, marketing, and digital transformation for professional audiences. The consultancy configures HubSpot portals, custom objects, integrations, and reporting to improve revenue operations and measurement. | Broadhurst Digital is a digital marketing consultancy that will help grow your business by running your marketing campaigns in the most effective way.

Digital Marketing Consultancy Services

Broadhurst Digital is a full-service digital marketing consultancy that provides the following services:

- CRM implementation
- Marketing automation strategies
- Facebook advertising management
- Content marketing management
- Digital strategy consultancy
- Marketing technology advisor
- Results-driven marketing

We use data and insights to provide the best ROI for our clients. We're committed to providing the best service possible. Sign up for a free consultation today!"
N-iX,n-ix.com,"N-iX is a global software solutions and engineering services company that helps world’s leading organizations turn challenges into lasting business value, operational efficiency, and revenue growth using advanced technology. Whether you need to build a custom solution, modernize your digital product or acquire extra tech expertise - we have the experience and capabilities to ensure your success. With over 2,000 professionals in 25 countries across Europe and the Americas, N-iX offers expert solutions in cloud, data analytics, embedded software, IoT, AI, machine learning, and other tech domains. Being in business for over two decades, we have worked with dozens of industry-leading enterprises and Fortune 500 companies creating value across a wide variety of sectors, including finance, manufacturing, supply chain, retail, e-commerce, healthcare, and more. Our unique combination of business domain expertise and technical know-how enables us to effectively collaborate with ISVs, tech companies, and enterprises of all sizes. Thanks to the strong tech ecosystem and partnerships with AWS, GCP, Microsoft, SAP, OpenText, Snowflake, and others, we bring extra speed, scale and efficiency to more than 160 organizations across the globe. N-iX is recognized by numerous industry awards, such as CRN Solution Provider 500, Global Outsourcing 100 by IAOP, ISG Provider Lens™, Modern Application Development services providers by Forrester, etc. || Ukrainian IT outsourcing company | N-iX is a global software solutions and engineering services company that helps world’s leading organizations turn challenges into lasting business value, operational efficiency, and revenue growth using advanced technology. Whether you need to build a custom solution, modernize your digital product or acquire extra tech expertise - we have the experience and capabilities to ensure your success. With over 2,000 professionals in 25 countries across Europe and the Americas, N-iX offers expert solutions in cloud, data analytics, embedded software, IoT, AI, machine learning, and other tech domains. Being in business for over two decades, we have worked with dozens of industry-leading enterprises and Fortune 500 companies creating value across a wide variety of sectors, including finance, manufacturing, supply chain, retail, e-commerce, healthcare, and more. Our unique combination of business domain expertise and technical know-how enables us to effectively collaborate with ISVs, tech companies, and enterprises of all sizes. Thanks to the strong tech ecosystem and partnerships with AWS, GCP, Microsoft, SAP, OpenText, Snowflake, and others, we bring extra speed, scale and efficiency to more than 160 organizations across the globe. N-iX is recognized by numerous industry awards, such as CRN Solution Provider 500, Global Outsourcing 100 by IAOP, ISG Provider Lens™, Modern Application Development services providers by Forrester, etc. | N-iX is a global software solutions and engineering services company that helps world’s leading organizations turn challenges into lasting business value,  operational efficiency,  and revenue growth using advanced technology. Whether you need to build a custom solution, modernize your digital product or acquire extra tech expertise - we have the experience and capabilities to ensure your success. 

Services:
Technology Consulting: Achieve sustainable business results, maximize the value of your tech investments and fuel innovation with a reliable technology consulting partner by your side.
Digital Transformation: Through our end-to-end digital transformation services, we help enterprises adopt new technologies, improve operational efficiency, and drive fundamental changes that are imperative for sustainable business growth.
Custom Solution Development: Build a custom solution, modernize your system, or solve a specific business issue with our end-to-end software solution development services.
Team Extension: Grow your team and expand your software development capabilities with a reliable tech partner by your side.

With over 2,200 professionals in 25 countries across Europe and the Americas, N-iX offers expert solutions in cloud, data analytics, embedded software, IoT, AI, machine learning, and other tech domains. Being in business for over two decades, we have worked with dozens of industry-leading enterprises and Fortune 500 companies creating value across a wide variety of sectors, including finance, manufacturing, supply chain, retail, e-commerce, healthcare, and more. Our unique combination of business domain expertise and technical know-how enables us to effectively collaborate with ISVs, tech companies, and enterprises of all sizes. 

Expertise:
Software engineering
Data Analytics & Big Data
AI, ML & Data Science
Cloud Solutions
Enterprise Platforms & RPA
Cybersecurity
Embedded Software & IoT
Game Development & VR Studio

Thanks to the strong tech ecosystem and partnerships with AWS, GCP, Microsoft, SAP, OpenText, Snowflake, and others, we bring extra speed, scale and efficiency to more than 160 organizations across the globe. N-iX is recognized by numerous industry awards, such as CRN Solution Provider 500, Global Outsourcing 100 by IAOP, ISG Provider Lens™, Modern Application Development services providers by Forrester, etc. | N-iX is a global technology partner for Pragmatic AI Software Engineering. | N-iX is a global technology partner for Pragmatic AI Software Engineering, the practice of measuring what AI tools actually deliver on your codebase with your engineers before scaling them. With over 2,400 engineers across Europe, the Americas, and APAC, we work with Fortune 500 companies and enterprise technology leaders across finance, manufacturing, supply chain, and retail. For over two decades, we have built and measured software that runs in production. Services:  Technology Consulting: Achieve sustainable business results, maximize the value of your tech investments and fuel innovation with a reliable technology consulting partner by your side. Digital Transformation: Through our end-to-end digital transformation services, we help enterprises adopt new technologies, improve operational efficiency, and drive fundamental changes that are imperative for sustainable business growth. Custom Solution Development:  Build a custom solution, modernize your system, or solve a specific business issue with a reliable partner by your side. N-iX will help you with technology consulting and end-to-end software solution development services. Team Extension: Grow your team and expand your software development capabilities with a reliable tech partner by your side. AI-Augmented Development Services: N-iX transforms engineering delivery across the entire SDLC by embedding AI into team workflows through a staged, metrics-driven approach. With over 2,400 engineers, 10 delivery centers across the globe, 23 years of experience, and our proprietary APEX framework, we help enterprises automate workflows, reduce costs, and scale faster. Expertise: Software Product Engineering Embedded & IoT Cloud Solutions and Consulting Intelligent Platforms and Automation Immersive Tech Data and Analytics AI Consulting and Implementation Security and Quality Game Development"
Addiva AI,addiva.se,"Addiva International AB - Adding Intellectual Value

Addiva International AB is a Swedish engineering and technology partner that transforms complex industrial challenges into tangible results. Our multi-disciplinary team of system architects, AI researchers, industrial designers, software developers, management consultants and project managers works side-by-side to deliver robust, scalable and future-proof solutions.

What sets us apart
Hands-on AI solutions. From predictive-maintenance algorithms and machine-vision quality control to digital twins and intelligent automation, we design, prototype and deploy AI systems that generate immediate, measurable value on the factory floor.

End-to-end product development. We guide ideas from concept through certification, production and lifecycle management, seamlessly integrating hardware, embedded systems, cloud services and user-centric design.

Consulting that sticks. Our experts embed with your teams, transferring knowledge and building internal capability so your solution keeps evolving after we leave.

Culture of curiosity. We believe great technology starts with great people. That’s why we invest in a collaborative, fun workplace that fuels innovation and personal growth.

Whether you need a strategic roadmap, a proof of concept or a fully validated industrial solution, Addiva International delivers engineering excellence-adding real intellectual value to your business. || Addiva International AB - Adding Intellectual Value

Addiva International AB is a Swedish engineering and technology partner that transforms complex industrial challenges into tangible results. Our multi-disciplinary team of system architects, AI researchers, industrial designers, software developers, management consultants and project managers works side-by-side to deliver robust, scalable and future-proof solutions.

What sets us apart
Hands-on AI solutions. From predictive-maintenance algorithms and machine-vision quality control to digital twins and intelligent automation, we design, prototype and deploy AI systems that generate immediate, measurable value on the factory floor.

End-to-end product development. We guide ideas from concept through certification, production and lifecycle management, seamlessly integrating hardware, embedded systems, cloud services and user-centric design.

Consulting that sticks. Our experts embed with your teams, transferring knowledge and building internal capability so your solution keeps evolving after we leave.

Culture of curiosity. We believe great technology starts with great people. That’s why we invest in a collaborative, fun workplace that fuels innovation and personal growth.

Whether you need a strategic roadmap, a proof of concept or a fully validated industrial solution, Addiva International delivers engineering excellence-adding real intellectual value to your business."
Baumer,baumer.com,"The Baumer Group is one of the world's leading experts for high performing sensors and sensor systems in industrial automation. The unrivalled broad product portfolio, measuring precision and smart sensor functionalities provide intelligent solutions for digitalized production. With around 2,800 employees and 39 own development centers, production sites and sales units in 19 countries, the Swiss family-owned Group is always close to the customers. As an innovation leader for over 70 years, Baumer has been creating decisive market advantages and measurable added value with consistently high quality standards. For more information, visit www.baumer.com || The Baumer Group is one of the world's leading experts for high performing sensors and sensor systems in industrial automation. The unrivalled broad product portfolio, measuring precision and smart sensor functionalities provide intelligent solutions for digitalized production. With around 2,800 employees and 39 own development centers, production sites and sales units in 19 countries, the Swiss family-owned Group is always close to the customers. As an innovation leader for over 70 years, Baumer has been creating decisive market advantages and measurable added value with consistently high quality standards. For more information, visit www.baumer.com | Baumer is a manufacturers of sensors , encoders , measuring instruments and components. | Baumer manufacturers of sensors, encoders, measuring instruments, and components for automated image processing provide clients in the most diverse industries with vital benefits and measurable added value by worldwide consistent high-quality standards and outstanding innovative potential. Learn more about Baumer on the internet. | An international family-owned business with a passion for sensor technology, encoders, measuring instruments and components for automated image processing | Baumer Electric AG is a retail company based out of HUMMELSTRASSE 17, Frauenfeld, Switzerland. | The Baumer Group is one of the worldwide leading manufacturers of sensors, encoders, measuring instruments and components for automated image-processing. Baumer combines innovative technologies and customer-oriented service into intelligent solutions for factory and process automation and offers an unrivalled wide technology and product portfolio. With around 2,700 employees and 38 subsidiaries in 19 countries, the family-owned group of companies is always close to the customer. 

Baumer provides clients in most diverse industries with vital benefits and measurable added value by worldwide consistent high quality standards and outstanding innovative potential. Learn more about Baumer on the internet. | Vente d'une gamme complète et performante d'instruments de mesure, de pression, température, niveau et conductivité | Nature of business:
The Baumer Group is leading at international level in the development and production of sensors, shaft encoders, measuring instruments as well as components for automatic image processing.
Parent company:
• Baumer Holding AG, Hummelstrasse 17, 8501 Frauenfeld (CH), Tel: +41 52 728 11 55, Fax: +41 52 728 11 44, info@baumer.com
Branch:
• Baumer SA/NV, Nijverheidsstraat 13, 2260 Westerlo, Belgien (BE), Tel: +32 14574620, sales.be@baumer.com
• Baumer A/S, Runetoften 19, 8210 Aarhus V., Dänemark (DK), Tel: +45 89317611, Fax: +45 89317610, sales.dk@baumer.com
• Baumer GmbH, Pfingstweide 28, 61169 Friedberg, Deutschland (DE), Tel: +49 6031 6007 0, Fax: +49 6031 6007 60 70, sales.de@baumer.com
• Baumer SAS, ZAE de Findrol, 363 route des Martinets, 74250 Fillinges, Frankreich (FR), Tel: +33 450392466, Fax: +33 450392302, sales.fr@baumer.com
• Baumer Ltd., 33/36 Shrivenham Hundred Business Park, Majors Road, SN6 8TZ Watchfield, Swindon, Grossbritannien (GB), Tel: +44 1793 783839, Fax: +44 1793 783814, sales.uk@baumer.com
• Baumer Italia S.r.l., Via Resistenza 1, 20090 Assago MI, Italien (IT), Tel: +39 0 245706065, Fax: +39 0 245706211, sales.it@baumer.com
• Baumer Sp.z.o.o., ul. Odrow..a 15, 03-310 Warszawa, Polen (PL), Tel: +48 228321550, Fax: +48 228323465, sales.pl@baumer.com
• Baumer A/S, Datorgatan 3, 6 TR, 56133 Huskvarna, Schweden (SE), Tel: +46 36139430, Fax: +46 36139450, sales.se@baumer.com
• Baumer Automación Ibérica S.L, C/ Aribau 195, 7º D. Edificio Zúrich, 08021 Barcelona, Spanien (ES), Tel: +34 932547864, Fax: +34 932547879, sales.es@baumer.com
• Baumer (China) Co., Ltd., Building 11, No. 1525 Minqiang Road Songjiang District Shanghai PRC, 201612 Shanghai, China (CN), Tel: +86 2167687095, Fax: +86 2167687098, sales.cn@baumer.com
• Baumer Ltd., 122 Spring Street, Unit C-6, CT 06489 Southington, USA (US), Tel: +1 860 621 2121, Fax: +1 860 628 6280, sales.us@baumer.com
Statutory auditors:
• KPMG AG, St. Gallen | The Baumer Group is one of the world's leading experts for high performing sensors and sensor systems in industrial automation. The unrivalled broad product portfolio, measuring precision and smart sensor functionalities provide intelligent solutions for digitalized production. With around 2,900 employees and 39 own development centers, production sites and sales units in 19 countries, the Swiss family-owned Group is always close to the customers. As an innovation leader for 70 years, Baumer has been creating decisive market advantages and measurable added value with consistently high quality standards. For more information, visit www.baumer.com | Baumer Electric AG was founded in 1952. The Company's line of business includes the manufacturing of electronic connectors."
Wilson Process Systems,wps.co.uk,"Wilson Process Systems is a commercial and industrial electronics equipment supplier. They provide PCB assembly, component procurement, environmental protection, electro-mechanical assembly, testing, and inspection. They also provide optical inspection and selective soldering equipment. || WPS offers specialist PCB assembly, providing agile, responsive manufacturing services, that supports customers across the country.

Backed by over 40 years'​ experience, the company currently employs approximately 75 personnel and specializes in sub-contract printed circuit board assembly. We deliver anything from bare PCBs to fully tested, electro-mechanical assemblies from our 30,000ft2 production facilities and supply a range of industries. These include consumer, industrial, entertainment, medical, rail, defence, highway and urban signage, lighting and power generation. 

2016 was a record year for the company, with growth of 28 per cent, taking annual turnover to in excess of £12 million. A key policy of continual investment in new equipment helps us keep pace with customer demand and maintain competitiveness. This has seen further additions to the plant in 2016, with additional optical inspection and selective soldering equipment, as well as increased surface mount capacity. 

The latest addition to Wilson's equipment inventory is a Synchrodex Orissa 460 high-speed, flexible, in-line, modular selective soldering system configured with a drop-jet fluxer module and an infra-red pre-heat and soldering module. This greatly increases the repeatability and quality of the conventional soldering process through automation, while also maintaining competitive production costs. 

In total, the surface mount department has a capacity of over 300,000 component placements per hour with two Universal AdVantis AC 30 Lightning high-speed chip placement platforms, a Universal AdVantis AC 72, a Quad QSA-30 and a Quad QSP-2 pick and place machine, together with reflow ovens form Soltec, BTU and Speedline Electrovert. The company claims a position as the first UK contract electronics manufacturer to offer automated assembly of PCBs up to 1,200 by 500mm, including the vital solder paste printing process. | Wilson Process Systems provides and assembles contract electronics boards. | Wilson Process Systems is a commercial and industrial electronics equipment supplier. They provide PCB assembly, component procurement, environmental protection, electro-mechanical assembly, testing, and inspection. They also provide optical inspection and selective soldering equipment. | PCB assemblies sub-contract manufrs
Electronic contract & printed circuit manufrs
PCB conventional & surface mount assembly & LED display specialists suppliers"
