name,website,description
IXION,ixion.es,"IXION is a highly innovative SME that develops automation solutions and assimilates the most advanced and efficient technologies. Its products are aimed to the industrial sector, also linked with robotics and solutions based on autonomous vehicles.The company aims to provide industry with the advances of the newest technologies in an easy way. Asa result, companies will increase their efficiency and safety, and will also reduce costs and risks.Apart from its work for the European Space Agency, Axiom develops highly advanced solutions for robotic systems, specially for autonomous vehicles. These solutions are based on highly innovative progress regarding leading technologies, such as Computer Vision, Sensor Fusion, Control and Navigation Advanced Systems, Artificial Intelligence and advanced human-machine interfaces."
PCMP,pcmp.co.za,"PCMP is an industrial automation system integrator providing turnkey solutions for manufacturing clients across various sectors, including food and beverage, automotive, mining, and oil and gas. The company offers services such as PLC programming, SCADA development, electrical panel design, robotics integration, and industrial networking. PCMP uses technologies from brands like Siemens, Schneider, and Rockwell to deliver customized automation solutions to enhance manufacturing efficiency."
Gritec,gritec.ch,"Gritec offers technical support for IoT products, industrial automation, manufacturing, and engineering services."
S.I.A.,sia-bv.nl,"SIA focuses on industrial automation and control technology services for machine builders and manufacturing companies. The company offers advisory services on automation projects, including industrial control concepts using sensor, PLC, pneumatic, and servo technology. Its engineering and software services cover functional design, electrical engineering, industrial PLC software development, and creation of human-machine interfaces. SIA also supervises projects and supports customers facing temporary capacity peaks. Implementation services span the complete control system, from detailed design and electrical diagrams to panel building, on-site installation, and commissioning. These offerings support customers seeking partial or turnkey control solutions for industrial equipment and production lines."
MANIAS,manias.nl,"MANIAS is delivering services which will lead to success in Industrial Automation engineering. The services go beyond the coding of PLC’s, making graphic interfaces and hardware drawings. MANIAS is focusing on the complete design and the process of getting there smart, efficient and with the use new technologies and innovative ideas."
TechTribe,techtribe.se,"TechTribe operates in the industrial automation and robotics sector. The company offers complete solutions within industrial automation, with a focus on technology developed by humans for humans. TechTribe's services include robotic technological development and system integration. The company has been recognized for its innovative approach, receiving the System Integrator Innovation award from Rockwell Automation."
KS Engineers,ksengineers.com,"KS ENGINEERS provides automotive testing, industrial automation, and building services from a single source."
Puranova,puranova.tech,"Puranova designs and delivers solar water pumping, smart building, lighting, healthcare, and industrial automation solutions. The company acts as a manufacturer, system integrator, and partner to global brands in pumping, smart buildings, and automation. It provides Lorentz-based solar pump systems, PV modules, and accessories for pools, irrigation, and drinking water projects. Puranova Automation offers PLC, SCADA, DCS, and IIoT-based control systems, panel building, maintenance, and legacy system migrations across industries such as water, wastewater, food and beverage, and cement. Its smart building and lighting teams implement ELV security, guest room management, and energy-saving controls for residential, office, and industrial facilities."
Lafre,lafre.it,"Lafre is a machinery manufacturing company that provides welding, metal processing, and industrial automation services."
Cimlec Industrie,cimlec.fr,"Cimlec Industrie provides industrial automation services. The Compnay offers robotics, iron works, automation, and electrical engineering services. Cimlec Industrie serves customers worldwide."
INDEFF,indeff.com,"INDEFF is an experienced Industrial Automation and Manufacturing Execution Systems expert. We boast more almost 20 years of experience as an Endorsed AVEVA System Integrator and have successfully completed more than 1000 projects all over the world. How does INDEFF innovate? We prepare companies for Industry 4.0 by creating smart factories. As a proud AVEVA partner, we take full advantage of the possibilities of the Industrial Internet of Things and set up fully connected supply chains for maximum efficiency. INDEFF has operating companies in Europe, Middle East, Southeast Asia, and North America to support our global customers."
SCIO Automation,scio-automation.com,"SCIO is a global industrial automation conglomerate whose mission is to support and simplify its customer’s successful journey to Industry 4.0. By applying SCIO's expert services as a system integrator using new digital-age solutions, SCIO helps its customers to automate production and logistics processes to achieve superior efficiency. As a technical innovator, SCIO develops value-adding automation solutions tailored to customer-specific needs - helping to turn industrial plants into Smart Factories. SCIO stands for quality, reliability and value, and through close cooperation SCIO rapidly improves production processes and systems to extract valuable, tangible benefits - both for today and for tomorrow."
2Pro Automation & Engineering GmbH & Co.,2pro-automation.de,"2Pro Automation & Engineering provides services for industrial automation, robotics integration, mechanical and electrical engineering, and plant construction. The company plans, implements and optimizes production systems, including robot programming, software development and industrial service. It also offers personnel services, supplying specialists such as robot programmers, software developers, mechanics and electromechanics. In addition, 2Pro delivers cybersecurity services such as vulnerability scanning and managed security operations, external data protection and whistleblower systems, and e-learning courses on IT security and data protection."
General Control Systems,generalcontrolsystems.com,"General Control Systems, Inc. (GCS) is a Control Systems Integrator with professional automation engineers specializing in Robotics, Process Control and Industrial Automation Control Systems. GCS is a certified member of the Control System Integrator Association (CSiA). GCS specializes in the semiconductor, pharmaceutical, biotech, food & beverage, water & wastewater, and industrial automation sectors. From process control systems to certified panel design, controls upgrades to robotic integration, we'll deliver the right solution for you!"
Ruhrbotics,ruhrbotics.de,"Ruhrbotics develops and integrates industrial automation solutions with a focus on robotics, special-purpose machinery, and complete production systems. The company designs and builds custom machines, automation cells, and material handling systems such as palletizing and automated storage solutions. Its engineers integrate and program industrial and collaborative robots, PLCs, safety controls, and machine vision for tasks like assembly, sorting, quality inspection, and logistics. Ruhrbotics also distributes industrial and collaborative robots from major manufacturers and provides CE-related services. In addition, it offers training courses on FANUC and KUKA robots, Profinet, and robot safety, as well as ongoing service and support for installed systems. These offerings address customers in industries including automotive, healthcare, electronics, intralogistics, and metal processing."
LCS Group,lcsgroup.it,"Since the establishment of the company in 1989 LCS Group is one the Italian and European market as a System Integrator, offering turnkey solutions for material handling and automatic warehouse. LCS headquarter in Usmate Velate (MB) deals with: - planning and supply of automated handling and storage systems; - revamping of inhouse automatic material handling systems; - software solutions, feasibility studies. LCS Automation in Rivalta di Torino (TO) is the company of LCS Group dedicated to design, installation and maintenance of systems for industrial automation. The company offers: - design and installation of turnkey systems for industrial automation and motorized transport; - welding islands; - electrical, software and fluidics engineering; - PLC design and commissioning and motion control systems."
LC Engineers & Consultants,lcec.nl,"LC Engineers & Consultants BV, also known in short as “LC”, is an independent and specialized engineering-, and consultancy company in the field of industrial automation and process control. LC is performing in optima forma as an extension of the end-users organization. The LC company provides professional consulting- and engineering services, delivered by talented and highly motivated professionals with extensive and integral industry know-how of a diversity of techniques related to the Industrial Automation domain. Implementing new information-systems-migration-strategies demands well designed process control system architectures, efficient projects execution and professional operated and maintained process control-, information-, and management systems and applications. Budget estimations have to be prepared, system concepts and software platforms are to be selected and benchmarking of suppliers has to be done. Here is where LC can bring added value in this selection process in offering our field proven LC-method! Our services contains a complete package of solutions and methodologies to purchase or rearrange complete industrial automation systems and solutions. “Do we have a business case or not?” is in such a question often asked as a starting point of a first meeting."
AENTEC,aentec.es,"Aentec provided industrial automation and engineering solutions, including design and integration services for manufacturing systems."
Metapack Engineering,metapack.it,"Metapack Engineering S.r.l is an Italian company which operates in the field of industrial automation since 2000. 

With the founding values of specific competence, innovation and strong customer orientation, Metapack turns innovative solutions into fully engineered systems taylored to the specific needs of Customers. 

Mainly specialized in the fields of pharmaceuticals, chemicals, food and beverage, and converting, Metapack provides for each phase of the solution deployment, from Customer URS analisys, through Detailed Design and machine manufacturing, up to the FAT/SAT processes and final installation, training and take-over support.

Among the specific competences of Metapack Engineering:
•	Late stage customization of cartons, labels, blister and Pharma Foils
•	Digital Identification/Printing systems (DOD UV, TIJ, CIJ and LASER printing)
•	Vision systems (COGNEX certified integrator) 
•	Traceability systems (pharmaceutical serialization, aggregation and related technologies)
•	Fast Decoding and print quality inspection in one system (V-Plus)
•	Blow Fill Seal Monodoses - Print and fill level inspection
•	Blister Single - Print and inspection
•	Print on Pharma Foils

Over the years, Metapack has developed uninterrupted tracking systems not only in Italy.
Many of our customers are pharmaceutical companies from all over the world (American, Asian and European companies). Our assistance services, guaranteed on site for the whole time of the cooperation, are structured with a team of engineers all over the world.

The entire production chain is carried out within the industrial plant. The design is managed by our team of engineers, who allows us to create machines that can be customized for all needs.

We are looking for new projects, 
Keep in touch"
RR Service,rrservice.cz,"RR Service provides logistics, packaging, consulting and industrial automation services."
Spiratec Solutions,spiratec.com,"SpiraTec Solutions provides industrial engineering, automation, and IT services for production plants in the process industry. The company focuses on the planning, implementation and support of process engineering facilities, covering process, piping and civil, IT, automation, and electrical and instrumentation engineering. It delivers process automation and discrete automation projects, including control system implementation, batch and recipe control, safety systems, migrations and system integration. SpiraTec Solutions also implements industrial IT solutions such as IT/OT system integration, MES and MOM applications, data historians, performance management and industrial cyber security. Its services extend across the lifecycle of production systems, from consulting and functional design through commissioning, optimization and ongoing technical support for sectors such as pharmaceuticals, food and beverages, chemicals and energy."
Inovako,inovako.com,"Inovako is an ‘Industry 4.0’ system integrator and supplies solutions by computer vision, artificial intelligence and industrial internet of things technologies.
We serve to a wide range of industries such as automotive, white goods, machinery, food industry, electronics and we are capable of developing projects from process quality control applications until comprehensive R&D projects which usually need deep scientific approach."
Bonetto,bonetto-group.com,Bonetto specializes in providing customized industrial automation solutions and machine tools for various sectors.
HAHN Automation Group US,hahnautomation.group,"The HAHN Automation Group is your global solution partner for factory automation. From manual stations to semi-automated cells and full production lines, our 1,800 employees across 22 locations worldwide provide custom automation solutions.

Our MedTech global lead plant (formerly Invotec) is headquartered in the US and specializes in applications with small components and intricate assemblies—scaling automation to meet the unique needs of medical device manufacturers. Our flexible approach allows customers to refine their product design while we engineer the equipment.

Our core competencies include: controls engineering, error proofing, machine vision systems, assembly systems, micro laser processing, and test systems."
Chiyoda,chiyodacorp.com,"Chiyoda Corporation constructs, inspects, and maintains industrial plants around the world. Those plants include oil refinery, petrochemical, food, and pharmaceutical plants. The Company also provides comprehensive engineering services for such as energy saving, factory automation (FA), and environmental preservation for water treatment and soil purification."
QING,qing.nl,"QING specializes in production automation, on-site engineering, development and mechanical engineering, and energy consultancy."
SEU,seugmbh.de,"SEU provides automation and visualization solutions for industrial processes, with a focus on flue gas denitrification, energy management and other control tasks. The company delivers engineering services covering planning, design and optimization of plants and processes. SEU develops and programs automation systems using platforms such as Siemens TIA Portal and Step 7 and supports communication via Modbus, Bacnet, Profibus and Profinet. It designs and builds control cabinets for industrial and building automation, including installation, wiring, integration of control and communication systems, commissioning and maintenance. SEU also supplies control technology and switchgear for NOx reduction plants and associated tank farms and supports on-site commissioning. Its offerings target industrial customers across various sectors that require tailored automation and electrical engineering solutions."
SODEREL,soderel.com,"Soderel provides industrial automation solutions. The Company develops robotics for leak testing and filling activities, as well as offers maintenance, supervision, installation, assembling, commissioning, training, and engineering services. Soderel serves customers worldwide."
Vesta Engineering,vestaengineering.it,"Vesta Engineering Srl provides engineering and consulting services focused on Industry 4.0 projects for manufacturing environments. The company designs production plants and equipment, including structural calculations, 3D modeling, and electromechanical project development. It delivers system integration and automation, covering construction strategies, methods analysis, and monitoring of assembly and automation tests. Vesta Engineering Srl also offers feasibility studies for Industry 4.0 investments, analysis of fiscal and financial instruments, and revamping of databases and ERP systems. Additional services include strengthening industrial interconnection through SCADA software and providing customized turnkey factory automation solutions across sectors such as automotive, textile, packaging, food, special machinery, woodworking, biomedical, and chemical industries."
Inovance Technology Europe,inovance.eu,"The Inovance Group is a $3.4bn+ global provider of industrial automation solutions. Inovance's flexible production techniques and expert understanding of all industry sectors - from elevators to plastics to electric vehicles to robotics - has allowed the company to establish globally leading industry-specific business units. The product portfolio includes Low Voltage AC Drives, Medium Voltage Drives, Servo Drives & Motors, Intelligent Controllers, Industrial Robots, Electric Vehicle Inverters, Light Rail Transit Converters and Industrial Internet."
NIVE,nivetechnologies.com,"NIVE Technologies helps global enterprises re-imagine their businesses for the digital age. Through innovative technology solutions built around Digital, IoT, Cloud, Industrial Automation,   Engineering Services, amongst others, we solve complex business problems for our Customers. We provide optimum solutions to meet our client's requirements with reliable and innovative technologies.\nWe offer the full spectrum of services including Hardware Engineering, Software Engineering, IT & networking solutions, Installation & Commissioning to take your project from concept to completion. Our solution based approaches solve business problems more intelligently and efficiently.\nWe strive to exceed our customer expectations by offering cost effective solutions using Technological & Domain expertise with a commitment for a long-term relationship. Our team of experienced professionals having capabilities in multiple products and industry specific engineering solutions enables us to provide a wider range of support which gives the customer an added advantage in terms of availability, flexibility, greater efficiency and cost effective services. \n"
Batenburg JB Systems,batenburg.nl,"Batenburg JB Systems provides industrial automation solutions. Their services include installation work, offshore automation, simulations, software engineering, and user interface design hmi."
PRAUTEC,prautec.de,"PRAUTEC serves industrial automation services. Their services are automation industry robots, industrial image processing, robot programming, SPS programming, and construction invertor services."
Tecno Logica,tecno-logica.com,"Tecno Logica offers industrial automation solutions. Their services include after-sales service, preventive maintenance, on-site service, plant updating and improvements, customized spare parts packages, and so on."
MDE Automation,mde-automation.eu,MDE Automation is an industrial automation services company that offers robotics and digital factory integration services for manufacturers.
ROKI Co,roki-jp.com,"ROKI CO., LTD. designs and manufactures filtration and separation components for vehicles and industrial equipment. Offerings include oil, fuel, air, crankcase breather, and canister filters for passenger cars, motorcycles, and commercial applications. The company develops process and purification cartridges used in chemical handling and production lines. Capabilities cover filter media development, product design, prototyping, molding, and automated assembly with quality inspection. Engineering services include performance testing, durability evaluation, contamination analysis, and customization to meet OEM specifications and regulations. Additional support spans supply of replacement elements, documentation, and technical guidance throughout product lifecycles."
ASINOVA SOLUCIONES,asinova.es,"ASINOVA SOLUCIONES provides industrial automation and software services for manufacturing companies. The company designs and implements plant control systems, including PLC and SCADA solutions for production lines and process plants. It develops industrial software for supervision, data acquisition, and production management, along with traceability systems to track materials and products. ASINOVA SOLUCIONES also delivers machine vision projects for inspection and quality control. Its solutions are used in sectors such as waste treatment, recovery plants, and other industrial environments that require automation and real-time information."
PRO-AT,pro-at.nl,"PRO-AT specializes in industrial automation, services & maintenance and IT services."
VSE,vse.nl,"VSE is a highly competent system integrator of industrial automation applications. We: • Are experts in motion control; • Design and write the applicable, client-specific software; • Engineer and build control panels. The aims of our clients are leading; they mainly focus on less production costs, more efficiency and higher-quality processes. We take care of that by analyzing their situation and possibilities and developing the best solution for their specific needs. VSE is very active in commissioning and problem solving for clients worldwide, mainly in the high-tech industry. We design new installations but also take care of retrofitting and boosting output on machines through eliminating obsolete technologies and integrating servo and motion control. We cooperate with the leading brands in motion controllers, drives, robots, PLC’s and IPC’s. A spinn-off of VSE is Fledlight. Fledlight offers sustainable solutions for lighting needs, especially in hygienic production conditions as in foor and pharmacy. Specialties: industrial automation, motion control, engineering, electrification machines, consultancy, turn-key projects. Want to take a look inside VSE once a month? Subscribe and receive our popular newsletter! https://vse.nl/inschrijven"
eReM Elektrotechnici,erem.nl,"eReM Electrotechnicians provides industrial automation services, including E and I engineering, installation, software engineering, and services. They specialise in the production of control cabinets and switchgear systems."
VIFER automation,viferautomation.com,"VIFER automation S.L. provides industrial automation services for small and medium-sized enterprises, focusing on Industry 4.0 projects. The company designs and assembles electrical panels and programs PLC, HMI, SCADA, and vision systems from multiple brands. It integrates collaborative robotics and artificial vision into production lines and industrial processes. VIFER AUTOMATION, S.L. develops control software that monitors, collects, and processes real-time data locally or remotely. It also offers maintenance and repair of existing automation systems and supports industrial digitization initiatives."
Bami Technologies,bamitechnologies.com,Bami Technologies LLC provides electrical power system design and industrial automation and testing services.
Eekels Technology,eekels.com,"For over 110 years, Eekels has been operating in the Marine & Offshore and Industry & Infrastructure markets. Its employees, totalling almost 900, carry out projects and maintenance & service operations in technical automation, electrical engineering and mechanical engineering. Marine & Offshore In the Marine & Offshore market Eekels delivers complete electrotechnical installations for the following types of vessels: passenger ships, luxury superyachts, research and marine vessels, merchant navy and ships used for the offshore (including wind). As an independent system integrator, Eekels takes care of the entire chain, from engineering, panel building, implementation, commissioning to maintenance and service. Often the following systems are part of our delivery: electrical propulsion systems, shore power convertor systems and ship automation systems. Industry & Infrastructure The customers of Eekels in the Industry & Infrastructure market segment are active in the energy, petrochemical, chemical, food and stimulants industry, paper and cardboard industry, water abstraction and machinery sector. In addition, Eekels provides services to organisations that manage bridges, sluice gates and water treatment plants. As an independent system integrator, Eekels carries out both projects and maintenance work in technical automation, electrotechnical engineering and mechanical engineering. Marpower Under the brand name Marpower, Eekels provides its own solutions for various electrotechnical issues such as electrical propulsion solutions (frequency converters), shore power convertor systems, ship automation systems and various electronic products. Eekels achieves a turnover of approximately 100 million euros. In the Netherlands, Eekels is located in Kolham (head office), Zaandam, Emmen, Gorinchem, Delfzijl and Joure. Moreover, Eekels has a branch at Kleve (Germany) and at Galaţi (Romania), a joint venture with SaierNico in China and offices in China and Vietnam."
C G Controls,cgcontrols.ie,"CG Controls Ltd. specializes in automation solutions for industries such as medical devices, pharmaceuticals, and food & beverage. The company offers expertise in PLC, SCADA, and machine vision systems, focusing on industrial automation, serialization, and track & trace. CG Controls Ltd. supports third-party process control and automation systems, ensuring efficient and compliant operations in regulated industries."
TRIGO,trigo-group.com,"Founded in 1997, TRIGO is a multinational company providing operational Quality Management solutions for the manufacturing sector, especially in the transportation industries. With a team of more than 5000 professionals present in 20 countries across 4 continents, TRIGO offers a comprehensive portfolio of Quality Inspection, Engineering and Management Services all along the supply chain."
EK Robotics,ek-robotics.com,"EK Robotics is a manufacturing company that offers logistics consulting, automated guided vehicles, and industrial automation services."
EveryBotics,everybotics.it,"EveryBotics offers a laboratory of industrial automation and robotics services. They provide design, development, engineering, and integration of systems and services for automation, ICT, and robotics."
BIESSE,bi-esse.com,"Biesse specializes in firefighting, studio lighting, painting, and industrial automation services."
Inprotec,inprotec.it,"Inprotec offers control system design, reliability, safety, and supply of industrial automation services to oil & gas industries."
SYNEO,syneos.swiss,"Syneos is an automation company that offers consulting, industrial, and commercial automation services."
Eltra Engineering,eltra.nl,"Eltra Engineering B.V. delivers industrial IT, automation, and engineering solutions, including systems integration and process automation."
T.T.C.,ttc-mi.it,"TTC S.r.l. provides engineering services. The Company offers designing, developing, testing, installation, commissioning, revamping, and maintenance services. TTC also provides industrial automation services and equipment. TTC serves customers in Italy."
E+H Gross,gross-schaltschrankbau.de,E+H Gross is a manufacturing company that offers industrial automation services by building control cabinets.
JDT J.D. Theile GmbH & Co.,jdt.de,"JDT is a leading global manufacturer of complete chain systems and accessories for mining and industry, as well as a system integrator of robots in the field of industrial automation. As a company that is proud to offer products that are Made in Germany, we at JDT have been passionately offering top quality products, innovation, performance, availability and customer-oriented service in all areas since 1819. For more than 200 years, JDT has been improving production processes and products with new ideas and groundbreaking inventions - always for the customer’s benefit."
Siemac,siemac.in,"SIEMAC Automation Pvt. Ltd. is India's leading ENGINEERING Company providing high quality integrated Turnkey solutions for Industrial Automation, Electrical & Field Instrumentation. we are dedicated to delivering exceptional engineering solutions that drive innovation and propel our clients’ success. With a solid commitment to excellence, cutting-edge technology, and a customer-centric approach, we have established ourselves as a trusted partner in the industry. SIEMAC is a leading solutions partner and system integrator of HONEYWELL in North India and is empowering large industrial units transform their processes using Industry 4.0 techniques. we offers the industry's broadest product portfolio, ranging from Distributed Control Systems (DCS),and advanced controllers, to best-in-class Transmitters, Actuators, Recorders, Sensors Gas Detection and Thermal products for the process environment. SIEMAC takes pride in offering cutting-edge solutions that enhance the power factor and energy efficiency of your electrical systems. We manufacture, install and commission all type of Electrical, Electronics and Instrumentation panels of the Highest quality for a variety of indoor and outdoor industrial applications for all process & production industries (i.e. System Automation Control Panel , VFD Panel, Distribution Panel, APFC Panel, Control & Junction Box, Control Desk Panel, Motor & Power Control Centre Panel, Meter Panel etc.) Our Panels are designed to optimise power usage, reduce electricity costs, and improve the overall performance of your industrial or commercial facility. We are specialised in complete turnkey EPC Electrical ,Automation & Instrumentation solutions for all Process Plants such as Petrochemical, Chemical, Distillery, Power, Cogeneration, Edible Oil, Dairy, Pharma, Sugar, Food & Beverages etc."
Seneca,seneca.it,"With over 35 years manufacturing in the industrial automation field, SENECA has grown to be a major force in the signal conditioning and “ModBUS” I/O arenas. Our innovative product lines, professional approach and worldwide network of trained distributors guarantee the most elegant solutions to all your process interfacing and data acquisition challenges. As an ISO 9001 certified company, your highest quality expectations are exceeded. SENECA intends to confirm and expand their offer of excellence across a broad product range. Three business units (Automation Interfaces, Engineering Division, Industrial Supplies) organized according to the best quality criteria. SENECA offers a complete range of automation solutions: from the single component up to a complete engineering plant."
Smitech,smitech.ee,"Smitech develops and delivers turnkey automation solutions for manufacturing companies. The company designs and builds production lines, fully automated and semi-automated assembly equipment, and industrial robot systems, including collaborative and mobile robots. Its engineers implement industrial automation and control systems, machine vision solutions for quality inspection, and custom machine-building projects across sectors such as electronics, automotive, wood, plastics, and construction. Smitech supports customers from concept development through engineering, component sourcing, assembly, software development, on-site installation, and commissioning. It also provides aftercare services including maintenance, upgrades, spare parts, and training for production personnel."
20/20 Robotics,2020robotics.com,20/20 Robotics is a robotics automation company that provides integrated machine vision systems and industrial automation solutions.
Genn,genn.co.in,"Genn specializes in industrial automation, offering services such as electrification, automation, and digitalization solutions. The company manufactures industrial automation and electrical control panels, including PLC-based systems. As an authorized system house for Siemens, Genn Automation provides products like variable frequency drives (VFDs), programmable logic controllers (PLCs), and other automation solutions."
Gestalt Robotics,gestalt-robotics.com,"Gestalt Robotics is a software and solution provider working at the interface of classic industrial automation and artificial intelligence. We accompany our clients in the innovation process from ideation through prototyping to the integration of finished products. In addition to software development, the range of services includes consultingactivities (e.g. feasibility studies and automation concepts) as well as support for the customer after the end of the project. Based on the extensive technical experience and expertise of the core team in applied research, Gestalt Robotics serves the ever growing demand for automation solutions from companies in various industries, but with a clear focus on manufacturing. The core of the business model of GESTALT Robotics is the project-based development of tailored software for the four application fields: (data-efficient) AI-powered image processing in 2D and 3D, intelligent robotics, (edge) platform services for autonomous mobility and innovative worker assistance systems."
PSI Technics,psi-technics.com,"Our vision is simple:
We want to improve workflows to enhance your profitability.

The digital transformation is well underway. We help you to meet challenges in production and logistics while sustainably improving quality and throughput.

Karl-Heinz Förderer founded PSI Technics in 2005 in Koblenz, Germany. His passion for innovative, future-oriented and custom solutions is the driving force behind new developments and continuously improved processes that extend to a broad range of industrial sectors. We assist customers with optimizing and digitalizing workflows in production, railway transport and logistics, leveraging the multidisciplinary know-how of our engineers and the creativity of our developers.

We design our solutions as part of a custom, comprehensive approach aimed at increasing throughput and quality, saving resources and minimizing claims and rejects. PSI Technics offers reliable solutions for companies across all industries that provide added value for its customers. Market-leading companies around the world rely on PSI Technics as a full-service engineering provider.

We focus on:
Industrial image processing, advanced industrial positioning systems for ASRS/crane systems, industrial automation solutions, automated train inspection and rolling stock maintenance / railway maintenance, data mining, artificial intelligence and thermal protection/cooling cases for sensitive sensors. Our portfolio also includes modernization and retrofitting solutions as well as analyses for enhanced throughput and system availability. Due to our extensive expertise we are well equipped for taking on projects in a wide variety of fields. We invite you to put us to the test!

AUTOMATE. OPTIMIZE. INCREASE QUALITY. SAVE ENERGY."
Van der Pol industrial automation,pol-elektro.nl,"Van der Pol industrial automation is a system integrator founded in 1988. Van der Pol preforms services as automation, engineering and panel building for new and old (refit) machines or processes. Van der Pol delivers these services to clients in sectors as the water industry, machine industry (robotics), food industry, process industry and infrastructure."
RIOP,riop.nl,RIOP is a provider of industrial automation services.
Boll Automation,bollautomation.de,Boll Automation is an innovative & effective system integrator when it comes to integrating robot-assisted systems for industrial automation
PGA Automation,pga-automation.de,"We are the PGA Gesellschaft für Prozess- und Gebäudeautomatisierungstechnik mbH. For more than 20 years we have been working according to the future-oriented and worldwide standards for continuous integration and automation. Our goal is to develop flexible and timely solutions in process and building automation, which can be created according to customer-specific requirements. These solutions are environmentally friendly, energy and resource-saving, thus striving for the goals of Industry 4.0.

We plan, develop and implement integrated system solutions across the entire spectrum of modern digital automation technology. As a system integrator and solution provider, we provide completely integrated solutions for all applications of the:  

- Process and industrial automation
- Building technology
- Room and building automation
- Facility Management
- Environmental, water and sewage technology
- Energy management, energy and process data processing
- WEB-based HMI, SCADA and management solutions"
Sweeper,sweeper-robot.eu,"SWEEPER’s main objective is to put the first generation greenhouse harvesting robots onto the market. Until now this has never been achieved and it will ensure Europe’s leading role in agricultural robotics.  In modern greenhouses there is a high demand to automate labour. The availability of a skilled workforce that accepts repetitive tasks in the harsh climate conditions of a greenhouse is decreasing rapidly. The current state of the art in automated harvesting of fruits and vegetables has remained remarkably stationary in the past decades. In the EU-FP7-project CROPS (www.crops-robots.eu) extensive research has been performed on agricultural robotics. One of the applications was a sweet pepper harvesting robot. SWEEPER will use the technology developed in CROPS to introduce, test and validate a robotic harvesting solution for sweet pepper under real-world conditions.  The project involves 6 partners from 4 different countries (The Netherlands, Belgium, Sweden and Israel). The consortium consist out of fundamental and applied research organisations, a system integrator and a modern grower of sweet pepper. In the consortium a wide-range of disciplines are available, including: horticulture, horticultural engineering, machine vision, sensing, robotics, control, intelligent systems, software architecture, system integration and greenhouse crop management."
RHOEL,rhoel.it,Rhoel develops customized industrial automation solutions for engineering companies and various sectors.
Mujin,mujin.co.jp,Mujin develops automation solutions for industrial robots to simplify factory and logistics automation and increase worldwide productivity.
Robotec Solutions,robotec-ag.com,"Robotec Solutions designs and implements customized robot-based automation solutions for industrial customers. The company develops individual robot cells, testing stations, and fully integrated production lines that cover production and manufacturing, material flow and intralogistics, and quality assurance and testing. Its systems include mobile robots, cobots, industrial robots, AI-supported visual inspection, rails and traversing axes, and complete robot cells and lines. Robotec Solutions serves electronics and semiconductors, plastics, food, luxury goods and watches, medtech and pharma, and the metal industry. Its services span feasibility studies, concept and system design, project management, commissioning, maintenance, support, extensions, training, and retrofit solutions. The company also offers a practice-integrated study program in cooperation with a university of applied sciences."
